"This very expensive GLOBAL WARMING bullshit has got to stop. Our planet is freezing, record low temps,and our GW scientists are stuck in ice",1/1/14 19:39,2148,3302,4.18542E+17
"""@missi51: .@realDonaldTrump thank God is not a politician, but he's one heck of a fighter who will fight for us, the people.""",3/24/16 9:40,10030,2967,7.12998E+17
"""@ezika101: @realDonaldTrump #Trump2016 #jobsmatter""",3/18/15 9:49,22,8,5.78191E+17
"""@ForHomeSales: @realDonaldTrump been a big fan since I read Art of Deal when I was 22.""  Great!",5/28/13 20:28,6,9,3.39539E+17
"""@pmadden86: @realDonaldTrump Trump hotel Vegas glistening in sunshine pic.twitter.com/o7n1ol784d""",5/27/15 22:29,131,43,6.0375E+17
"""@viksquad: @realDonaldTrump you are the man for the job""",6/6/15 1:33,36,11,6.07058E+17
"""@Chixbeach: @realDonaldTrump @Matteo5anchez Mr Trump why do you engage these dumb ass people? You're SO much better then any of them!"" FUN!",5/25/13 17:02,17,16,3.384E+17
"Mr. President, tell Iran to immediately free the CHRISTIAN PASTOR, as a sign of good faith, & if they refuse break off talks--big sanctions",11/27/13 9:06,425,710,4.05699E+17
"""@Shootar401: @realDonaldTrump You need to run for President and get this country back on the right track! Trump 2016""  Thank you!",4/22/13 2:57,59,50,3.26228E+17
"""@TaylorGianfermi: https://www.facebook.com/video.php?v=10154879521400725�ʉ�_ @realDonaldTrump is marvelous for calling out the notorious bozo @Rosie. Never laughed so hard.",12/2/14 0:00,30,22,5.39645E+17
Entrepreneurs: Don�۪t sell yourself short. Don�۪t ever think you�۪ve done it all already or that you�۪ve done your best.,6/12/15 15:36,233,172,6.09444E+17
"""@cassiewellkid: i think Donald trump should run for president""  Thank you, we sure do need someone - and fast!",4/29/14 22:28,139,57,4.61331E+17
"""@VanityFair: Donald Trump has constructed a wonder of a golf course in the Bronx http://vnty.fr/1d09khK�� pic.twitter.com/YxweLz5UCj"" Thank you.",5/31/15 20:40,156,53,6.05172E+17
"""@richtweett
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/19sshZ8dSu",1/11/16 14:43,5300,2230,6.86635E+17
Another Obama disaster- http://instagram.com/p/ovstuDmhbG/��,6/2/14 10:37,143,96,4.73474E+17
"""@JWCesare   I appreciate @realDonaldTrump and his straight talk.  Our country needs this.""",6/25/15 9:23,571,219,6.14061E+17
"Pat Buchanan gave a fantastic interview this morning on @CNN - way to go Pat, way ahead of your time!",1/9/16 9:22,4082,1386,6.85829E+17
"""@txbpd: @realDonaldTrump just caught your interview on @gretawire on my DVR. Always love hearing you speak!"" Thanks!",8/14/13 23:08,12,5,3.67845E+17
"""@ahatwearer: @realDonaldTrump why are you suing an old lady?""  Because she is rich and owes me money - I am not stupid!",5/16/13 23:51,66,75,3.35241E+17
"Due to popular demand, @lisarinna returns to the 13th season of All-Star @CelebApprentice. Lisa's fans won't be disappointed!",3/1/13 14:37,5,12,3.07575E+17
@AGNateLee  Great!,2/6/13 16:26,1,1,2.99268E+17
Welcome to the 'Islamist Winter' - the Muslim Brotherhood is now taking over the Egyptian military and possibly (cont) http://tl.gd/gme6ev��,3/28/12 15:02,6,83,1.8508E+17
"""@aaronrupe33: @realDonaldTrump no ones scared of you donald""  You are very wrong!",5/24/13 17:29,38,39,3.38044E+17
Maybe if Obama knew too much about the spying it would be worse than knowing nothing - but either way it is just another disaster!,10/29/13 7:56,51,76,3.95157E+17
@Joey_MoneyRacks  Thanks Joey!,12/21/12 9:16,0,1,2.82127E+17
Snowden is a liar.and a fraud!,5/29/14 8:37,182,102,4.71994E+17
"We have to make the U.S.A. RICH again so that we can afford to pay Social Security, Medicare,and Medicaid and STRONG to keep our enemies out",6/8/14 7:36,351,210,4.75602E+17
"@stretch33701  Good point, yes!",9/26/13 23:53,3,0,3.83439E+17
"""@ctobin22: @realDonaldTrump any advise for battered Paula dean? Her ship has been sinking .."" She must get back to work & stop apologizing!",7/5/13 14:32,38,37,3.5322E+17
@loverofthecross I don't hate him but he made some really bad decisions.,4/26/13 16:37,1,0,3.27884E+17
"@FashionFindsbyR  Thanks, enjoy!",3/1/13 11:34,2,4,3.07529E+17
"China's submarines will soon be carrying nukes http://reut.rs/Sx64do��  They will be sent to patrol our coasts, Obama won't do anything.",11/8/12 17:01,204,913,2.66662E+17
"With one of the worst and most prolonged cold spells in history, with Atlanta, Texas and parts of Florida freezing- Global Warming anyone?",1/29/14 21:46,260,292,4.28721E+17
I am watching two clown announcers on @FoxNews as they try to build up failed presidential candidate #LittleMarco. Fox News is in the bag!,3/5/16 13:09,13448,4578,7.0618E+17
"In war, the elememt of surprise is sooooo important.What the hell is Obama doing.",9/1/13 22:40,332,484,3.74361E+17
"""@LauraRosenCohen @MarkSteynOnline  on @realDonaldTrump ""There is nothing Trump does that doesn't work for him.""",10/9/15 12:24,1205,572,6.5252E+17
"""@1ChrisJoly: @realDonaldTrump Your ties are amazing.""  Thanks.",6/1/14 21:31,35,18,4.73276E+17
Watch the clip from my #C21 Super Bowl spot on @AccessHollywood tonight.,1/27/12 13:29,4,16,1.62965E+17
"Over the years, I've discovered that for a brand to build, the people surrounding it have to work exceptionally well together.",2/28/13 15:30,123,317,3.07226E+17
I had a lot of fun answering your questions in the latest round of #AskTheDonald. See if your question made it- http://on.fb.me/JQfzH2��,12/20/13 15:19,29,34,4.14128E+17
"The same people that built the ObamaCare website used, as the face of the website, someone who is not a US citizen. Incompetent.",11/13/13 10:03,190,304,4.0064E+17
"""@peenerad: @realDonaldTrump It needs to be done, Donald, these Republican GOP Candidates, just do not pass mustard. #Trump2016!!!!""  True!",5/4/15 21:50,43,19,5.95405E+17
"""@HebExcursions: @realDonaldTrump Tours of Lewis and Harris with Hebridean Excursions""  Great places!",12/30/14 6:10,18,7,5.49885E+17
Congratulations to @joniernst on her impressive @IowaGOP primary win last night. Now all should unite & defeat Bruce Braley this November,6/4/14 14:25,49,27,4.74256E+17
.@alexsalmond RT @King_Pepp  Driving through Indiana and seeing tons of ugly windmills. Now I know what @realDonaldTrump is talking about,4/12/13 14:08,16,15,3.22773E+17
Will miss @RealBenCarson tonight at the #GOPDebate. I hope all of Ben's followers will join the #TrumpTrain. We will never forget.,3/3/16 10:51,23503,7978,7.0542E+17
Our politically correct country will read the ISIS terrorists who beheaded the reporter their Miranda Rights prior to good food & care!,8/20/14 7:28,403,467,5.02054E+17
"""@SolomonDodson: @realDonaldTrump someone as smart as you should seriously run for president!!!""  Thank you!",1/14/14 21:42,47,18,4.23284E+17
"""@waite_lane:If you don't want Trump as president, then you don't want what your great grandfather fought so hard for #MakeAmericaGreatAgain",7/21/15 21:59,1004,380,6.23674E+17
"""@kellyizthebest: @realDonaldTrump  @ApprenticeNBC Just when you think it can't get any better.. It does!!""",1/26/15 20:34,32,9,5.59887E+17
Weak and totally conflicted people like @TheRickWilson shouldn't be allowed on television unless given an I.Q. test. Dumb as a rock!  @CNN,12/9/15 23:24,3980,1539,6.74807E+17
"""@yankeeworshiper  thank you to Donald Trump for standing up for what you believe in.leave the B.S.and lies for Hillary and Barack.""",6/30/15 12:32,727,315,6.15921E+17
"""@DNorrell: @greta @StateDept @FoxNews Trump is only good canidate - non-politician non-insider - bring transpaency back. @realDonaldTrump""",3/11/15 20:58,40,17,5.75823E+17
"""@Bettylovesdogs: @realDonaldTrump @iHunt88 never gonna happen-I'd like it too, but he won't run"" Keep watching!",10/12/14 21:20,29,19,5.2147E+17
"""@VineCulture: RT @realDonaldTrump: .@WineEnthusiast awarded Trump Vineyard�۪s Sparkling Reserve 91 points --- the highest rated wine V.",5/27/13 17:53,11,16,3.39137E+17
"With the record $200M renovations on track & budget (a miracle in DC), Trump Int�۪l Washington DC is being built into a national marvel.",8/26/14 14:48,79,29,5.0434E+17
@Millionayer  Hi and thanks.,2/12/13 15:28,3,2,3.01428E+17
The underemployment being quoted as 14.9% is way low--real number could be 20%.,7/13/12 14:24,9,96,2.23845E+17
What the hell is Obama doing in allowing all of these potentially very sick people to continue entering the U.S.! Is he stupid or arrogant?,10/5/14 18:13,1318,1081,5.18887E+17
"China is the biggest environmental polluter in the World, by far. They do nothing to clean up their factories and laugh at our stupidity!",3/30/13 17:30,95,287,3.18113E+17
"""By raiding the defense budget to pay for his failed social programs, @BarackObama continues to weaken our (cont) http://tl.gd/fvhuea��",2/17/12 10:43,12,78,1.70534E+17
"""@PharmStudents18: Next president of the United States of America. @realDonaldTrump #Trump2016 you've got my vote.""",2/2/15 20:09,43,9,5.62418E+17
